Mes;VENCIMENTO;LANCAMENTO;PAGAMENTO;DOCUMENTO;NF;CODIGO;FORNECEDOR;COMPLEMENTO;COD;HISTORICO;VALOR_HIST;JUROS;DESCONTOS;VALOR;RESTANTE;COD_G_HIST;G_HIST;CODIGO CONTABIL
2;12/02/2024;22/01/2024;14/02/2024;10653/01;10653;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;21592,14;0;0;21592,14;=(K332+L332-M332-N332);8;EMBALAGENS;
2;12/02/2024;29/12/2023;14/02/2024;133/03;133;6;E GUILLEN DE MELO ME;;129;PRODUTO;57533,34;0;0;57533,34;=(K333+L333-M333-N333);2;BOMBAS E COPOS;
2;13/02/2024;30/01/2024;14/02/2024;20740/01;20740;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;14252,5;0;0;14252,5;=(K334+L334-M334-N334);121;ERVA MATE TIPO A E PALITO;
2;14/02/2024;09/02/2024;14/02/2024;;;91;FRETE CARREGAMENTO;;162;ABASTECIMENTO MS;8000;0;0;8000;=(K335+L335-M335-N335);13;FRETES;
2;14/02/2024;07/02/2024;14/02/2024;;;116;F.R.FERREIRA INSTALACOES ELETRICAS E LOCACOES LTDA;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;136;0;0;136;=(K336+L336-M336-N336);138;MANUT DE MAQUINARIOS PRODU??O;
2;14/02/2024;02/02/2024;14/02/2024;;;275;TRANS APUCARANA TRANSPORTES RODOVIARIOS LTDA;;108;FRETES;754;0;0;754;=(K337+L337-M337-N337);13;FRETES;
2;14/02/2024;09/02/2024;14/02/2024;;;91;FRETE CARREGAMENTO;;142;ABASTECIMENTO MT;2200;0;0;2200;=(K338+L338-M338-N338);13;FRETES;
2;14/02/2024;09/02/2024;14/02/2024;;;74;GOVERNO;;135;IMPOSTOS;4480,69;0;0;4480,69;=(K339+L339-M339-N339);50;ICMS;
2;14/02/2024;09/02/2024;14/02/2024;;;295;LAURO DESPACHANTE;;130;DIVERSOS;650;0;0;650;=(K340+L340-M340-N340);191;VAN RENAULT 02;
2;14/02/2024;09/02/2024;14/02/2024;;;100;CORREIOS;;108;FRETES;4422,12;0;0;4422,12;=(K341+L341-M341-N341);82;ENVIO ECOMMERCE;
2;14/02/2024;11/01/2024;14/02/2024;93/02;93;66;CASAGRANDE AGROALIMENTOS LTDA;;104;MATERIA PRIMA;10491;0;0;10491;=(K342+L342-M342-N342);24;ERVA MATE TIPO B E PALITO;
2;14/02/2024;15/01/2024;14/02/2024;47949/02;47949;19;HOPPEN, HOPPEN & CIA LTDA;;104;MATERIA PRIMA;24948;0;0;24948;=(K343+L343-M343-N343);178;ERVA TIPO B;
2;15/02/2024;16/01/2024;15/02/2024;3595/01;3595;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;3735;99,36;0;3834,36;=(K344+L344-M344-N344);17;ESPECIARIAS;
2;15/02/2024;24/01/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;3015,61;0;0;3015,61;=(K345+L345-M345-N345);13;FRETES;
2;15/02/2024;17/01/2024;16/02/2024;20539/02;20539;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;12800;0;0;12800;=(K346+L346-M346-N346);121;ERVA MATE TIPO A E PALITO;
2;15/02/2024;19/01/2024;15/02/2024;2;;280;UNITECH INDUSTRIA DE MAQUINAS LTDA;;64;M?QUINAS E EQUIPAMENTOS;45000;0;0;45000;=(K347+L347-M347-N347);188;M?QUINA STAND POUCH AUTOM?TICA POUCH SPK 250 SUPER;
2;15/02/2024;06/02/2024;15/02/2024;;;148;CASA DOS PARAFUSOS;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;612,7;0;0;612,7;=(K348+L348-M348-N348);80;MATERIAL P CONSTRU??O;
2;15/02/2024;05/02/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;1381,96;0;0;1381,96;=(K349+L349-M349-N349);13;FRETES;
2;15/02/2024;05/02/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;1150,77;0;0;1150,77;=(K350+L350-M350-N350);13;FRETES;
2;15/02/2024;30/01/2024;15/02/2024;29549/01;29549;50;MED PLASTICOS LTDA;;131;INSUMOS;2508,48;51,67;0;2560,15;=(K351+L351-M351-N351);33;FITA ADESIVA PERSONALIZADA;
2;15/02/2024;01/02/2024;15/02/2024;;;126;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;;108;FRETES;6630,71;0;0;6630,71;=(K352+L352-M352-N352);13;FRETES;
2;15/02/2024;05/02/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;133,68;0;0;133,68;=(K353+L353-M353-N353);13;FRETES;
2;15/02/2024;29/01/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;300,63;0;0;300,63;=(K354+L354-M354-N354);13;FRETES;
2;15/02/2024;29/01/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;3807,7;0;0;3807,7;=(K355+L355-M355-N355);13;FRETES;
2;15/02/2024;26/01/2024;15/02/2024;10685/01;10685;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;8511,78;0;0;8511,78;=(K356+L356-M356-N356);8;EMBALAGENS;
2;15/02/2024;12/12/2023;16/02/2024;647301/03;647301;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;28225,12;169,38;0;28394,5;=(K357+L357-M357-N357);17;ESPECIARIAS;
2;15/02/2024;15/12/2023;16/02/2024;648306/03;648306;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;11341,9;34,02;0;11375,92;=(K358+L358-M358-N358);17;ESPECIARIAS;
2;15/02/2024;15/02/2024;15/02/2024;;;124;FRETE DESCARGA;;130;DIVERSOS;400;0;0;400;=(K359+L359-M359-N359);13;FRETES;
2;15/02/2024;09/02/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;140,26;0;0;140,26;=(K360+L360-M360-N360);13;FRETES;
2;15/02/2024;09/02/2024;15/02/2024;;;164;ITAU ADMINISTRADORA DE CONSORCIOS LTDA;;154;CONS?RCIO CAMINH?O;11595;0;0;11595;=(K361+L361-M361-N361);131;CONS?RCIO;
2;15/02/2024;26/02/2024;26/02/2024;;;139;COLABORADORES;;136;RH;1350;0;0;1350;=(K362+L362-M362-N362);6;CHAPA;
2;15/02/2024;09/02/2024;09/02/2024;;;74;GOVERNO;;135;IMPOSTOS;14134,49;0;0;14134,49;=(K363+L363-M363-N363);48;ICMS ANTECIPADO MT;
2;15/02/2024;09/02/2024;09/02/2024;;;74;GOVERNO;;135;IMPOSTOS;9627,09;0;0;9627,09;=(K364+L364-M364-N364);48;ICMS ANTECIPADO MT;
2;15/02/2024;09/02/2024;15/02/2024;;;126;RODONAVES TRANSPORTES E ENCOMENDAS LTDA;;108;FRETES;402,33;0;0;402,33;=(K365+L365-M365-N365);13;FRETES;
2;15/02/2024;09/02/2024;15/02/2024;;;80;BAUER EXPRESS;;108;FRETES;1214,58;0;0;1214,58;=(K366+L366-M366-N366);13;FRETES;
2;16/02/2024;16/02/2024;16/02/2024;;;74;GOVERNO;;135;IMPOSTOS;16352,37;0;0;16352,37;=(K367+L367-M367-N367);124;ICMS ANTECIPADO RO;
2;16/02/2024;09/02/2024;16/02/2024;;;73;BRASPRESS TRANSPORTES URGENTES LTDA;;108;FRETES;506,74;0;0;506,74;=(K368+L368-M368-N368);13;FRETES;
2;16/02/2024;16/02/2024;17/02/2024;;;74;GOVERNO;;135;IMPOSTOS;9802,35;0;0;9802,35;=(K369+L369-M369-N369);113;ICMS ANTECIPADO AC;
2;16/02/2024;01/02/2024;16/02/2024;;;73;BRASPRESS TRANSPORTES URGENTES LTDA;;108;FRETES;2052,35;0;0;2052,35;=(K370+L370-M370-N370);13;FRETES;
2;16/02/2024;05/01/2024;16/02/2024;20368/03;20368;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;3625;0;0;3625;=(K371+L371-M371-N371);178;ERVA TIPO B;
2;16/02/2024;12/01/2024;16/02/2024;;;74;GOVERNO;;135;IMPOSTOS;2693,04;0;0;2693,04;=(K372+L372-M372-N372);51;ICMS - EQUALIZA??O;
2;17/02/2024;03/02/2024;19/02/2024;20885/01;20885;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;7333,33;0;0;7333,33;=(K373+L373-M373-N373);121;ERVA MATE TIPO A E PALITO;
2;18/02/2024;19/01/2024;19/02/2024;2;;281;POTENCIAL LASER IMPORTACAO, EXPORTACAO, COMERCIO E;;64;M?QUINAS E EQUIPAMENTOS;3666,7;0;0;3666,7;=(K374+L374-M374-N374);189;M?QUINA LASER MODELO FIBER LASER 30W;
2;18/02/2024;20/12/2023;19/02/2024;11826/03;11826;11;ILUMET ILUMINACAO LTDA;;129;PRODUTO;4560;0;0;4560;=(K375+L375-M375-N375);4;BOMBAS;
2;19/02/2024;05/02/2024;19/02/2024;20447/01;20447;18;GESOPLAST EMBALAGENS LTDA;;131;INSUMOS;2260,16;0;0;2260,16;=(K376+L376-M376-N376);8;EMBALAGENS;
2;19/02/2024;30/01/2024;19/02/2024;72504/1;;232;BENVENHO & CIA LTDA;CADERNOS;133;PUBLICIDADE;1350;0;0;1350;=(K377+L377-M377-N377);60;MATERIAL PUBLICITARIO;
2;19/02/2024;22/01/2024;19/02/2024;20594/02;20594;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;20008,33;0;0;20008,33;=(K378+L378-M378-N378);121;ERVA MATE TIPO A E PALITO;
2;19/02/2024;21/01/2024;19/02/2024;693/01;693;64;RB COMERCIO E INDUSTRIA LTDA;;104;MATERIA PRIMA;10560;0;0;10560;=(K379+L379-M379-N379);38;LIMAO TRITURADO;
2;19/02/2024;29/01/2024;19/02/2024;10692/01;10692;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;14622,34;0;0;14622,34;=(K380+L380-M380-N380);8;EMBALAGENS;
2;19/02/2024;19/02/2024;19/02/2024;;;74;GOVERNO;;135;IMPOSTOS;33,84;0;0;33,84;=(K381+L381-M381-N381);118;ST;
2;19/02/2024;19/02/2024;19/02/2024;;;91;FRETE CARREGAMENTO;DINELI;150;ABASTECIMENTO SP;2200;0;0;2200;=(K382+L382-M382-N382);13;FRETES;
2;19/02/2024;19/02/2024;19/02/2024;;;91;FRETE CARREGAMENTO;ANDERSON;145;ABASTECIMENTO PR;2000;0;0;2000;=(K383+L383-M383-N383);13;FRETES;
2;19/02/2024;16/02/2024;19/02/2024;;;298;TECMAR TRANSPORTES LTDA.;;108;FRETES;2608,29;0;0;2608,29;=(K384+L384-M384-N384);13;FRETES;
2;19/02/2024;19/02/2024;19/02/2024;;;87;SIND DOS TRAB NA MOV DE MERC EM GERAL DE JANDAIA D;;130;DIVERSOS;921;0;0;921;=(K385+L385-M385-N385);6;CHAPA;
2;19/02/2024;08/01/2024;19/02/2024;20371/03;20371;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;16297,5;0;0;16297,5;=(K386+L386-M386-N386);121;ERVA MATE TIPO A E PALITO;
2;20/02/2024;16/01/2024;20/02/2024;3595/02;3595;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;3735;0;0;3735;=(K387+L387-M387-N387);17;ESPECIARIAS;
2;20/02/2024;10/01/2024;20/02/2024;MULHER/4;;9;INVENT ARTE E PROPAGANDA LTDA;;133;PUBLICIDADE;12000;0;0;12000;=(K388+L388-M388-N388);15;ADESIVO;
2;20/02/2024;22/01/2024;20/02/2024;163/03;163;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;5474;0;0;5474;=(K389+L389-M389-N389);69;BURRITO E MENTA;
2;20/02/2024;22/01/2024;20/02/2024;163/04;163;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;5474;0;0;5474;=(K390+L390-M390-N390);69;BURRITO E MENTA;
2;20/02/2024;02/02/2024;20/02/2024;47998/01;47998;19;HOPPEN, HOPPEN & CIA LTDA;;104;MATERIA PRIMA;18030;0;0;18030;=(K391+L391-M391-N391);24;ERVA MATE TIPO B E PALITO;
2;20/02/2024;05/02/2024;20/02/2024;135/01;135;6;E GUILLEN DE MELO ME;;129;PRODUTO;64500;0;0;64500;=(K392+L392-M392-N392);2;BOMBAS E COPOS;
2;20/02/2024;05/02/2024;20/02/2024;;;175;W. M. de Lima - Consultoria e Projetos de Engenhar;;59;CONSULTORIAS;100;0;0;100;=(K393+L393-M393-N393);136;CONSULTORIA WLM;
2;20/02/2024;05/02/2024;20/02/2024;;;175;W. M. de Lima - Consultoria e Projetos de Engenhar;;59;CONSULTORIAS;460;0;0;460;=(K394+L394-M394-N394);136;CONSULTORIA WLM;
2;20/02/2024;19/01/2024;20/02/2024;47968/02;47968;19;HOPPEN, HOPPEN & CIA LTDA;;104;MATERIA PRIMA;14178;0;0;14178;=(K395+L395-M395-N395);24;ERVA MATE TIPO B E PALITO;
2;20/02/2024;22/12/2023;20/02/2024;650142/03;650142;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;1272,72;0;0;1272,72;=(K396+L396-M396-N396);17;ESPECIARIAS;
2;20/02/2024;19/02/2024;20/02/2024;2673/01;;162;AZULMED INDUSTRIA E COMERCIO DE PRODUTOS DE PROTEC;;129;PRODUTO;63540;0;0;63540;=(K397+L397-M397-N397);126;GARRAFAS;
2;20/02/2024;20/02/2024;20/02/2024;;;74;GOVERNO;;135;IMPOSTOS;1672,31;0;0;1672,31;=(K398+L398-M398-N398);115;INSS;
2;20/02/2024;20/02/2024;20/02/2024;;;74;GOVERNO;;135;IMPOSTOS;3041,5;0;0;3041,5;=(K399+L399-M399-N399);115;INSS;
2;20/02/2024;20/02/2024;20/02/2024;;;74;GOVERNO;;135;IMPOSTOS;1002,09;0;0;1002,09;=(K400+L400-M400-N400);118;ST;
2;20/02/2024;20/02/2024;20/02/2024;;;139;COLABORADORES;;136;RH;4035,53;0;0;4035,53;=(K401+L401-M401-N401);123;DESPESA FERIAS;
2;20/02/2024;19/02/2024;20/02/2024;;;300;LOJA DE MOVEIS;MESA PARA MAQUINA A LASE;130;DIVERSOS;400;0;0;400;=(K402+L402-M402-N402);180;MOBILIA;
2;20/02/2024;09/02/2024;20/02/2024;;;265;O L I TELECOMUNICACOES LTDA;;132;FIXO;499;0;0;499;=(K403+L403-M403-N403);29;INTERNET;
2;20/02/2024;14/02/2024;20/02/2024;;;296;MUNDIAL CADEIRAS MOVEIS PARA ESCRITORIO LTDA;;130;DIVERSOS;2208,75;0;0;2208,75;=(K404+L404-M404-N404);180;MOBILIA;
2;21/02/2024;16/02/2024;21/02/2024;;;278;EXPRESSO PRINCESA DOS CAMPOS SA;;108;FRETES;1537,92;0;0;1537,92;=(K405+L405-M405-N405);13;FRETES;
2;21/02/2024;14/02/2024;21/02/2024;;;91;FRETE CARREGAMENTO;;146;ABASTECIMENTO AC;4000;0;0;4000;=(K406+L406-M406-N406);13;FRETES;
2;21/02/2024;21/02/2024;21/02/2024;;;274;CANTELLE VIAGENS E TURISMO LTDA;;108;FRETES;849,99;0;0;849,99;=(K407+L407-M407-N407);13;FRETES;
2;21/02/2024;20/02/2024;21/02/2024;;;91;FRETE CARREGAMENTO;BETO E SILAS;150;ABASTECIMENTO SP;3800;0;0;3800;=(K408+L408-M408-N408);13;FRETES;
2;21/02/2024;16/02/2024;21/02/2024;;;78;MEGA SYSTEM;;132;FIXO;289,93;0;0;289,93;=(K409+L409-M409-N409);27;SISTEMA;
2;21/02/2024;20/02/2024;21/02/2024;;;56;RAFAEL FABRICIO;;129;PRODUTO;1170;0;0;1170;=(K410+L410-M410-N410);126;GARRAFAS;
2;21/02/2024;31/01/2024;21/02/2024;;;101;BELA KOMPRA DISTRIBUIDORA - EIRELI;;130;DIVERSOS;470,55;0;0;470,55;=(K411+L411-M411-N411);34;PAPEL TOALHA / PAPEL HIGIENICO;
2;21/02/2024;22/01/2024;21/02/2024;10653/02;10653;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;21592,14;0;0;21592,14;=(K412+L412-M412-N412);8;EMBALAGENS;
2;21/02/2024;23/11/2023;21/02/2024;1164/03;;161;C. J. ARMARINHOS E CONFECCOES LTDA;;136;RH;1575,1;0;0;1575,1;=(K413+L413-M413-N413);128;UNIFORME;
2;22/02/2024;22/02/2024;22/02/2024;;;74;GOVERNO;;135;IMPOSTOS;210,39;0;0;210,39;=(K414+L414-M414-N414);118;ST;
2;22/02/2024;22/02/2024;22/02/2024;;;74;GOVERNO;;135;IMPOSTOS;1661,53;0;0;1661,53;=(K415+L415-M415-N415);52;DARF;
2;22/02/2024;09/02/2024;22/02/2024;;;74;GOVERNO;VAN 02;135;IMPOSTOS;2148,87;0;0;2148,87;=(K416+L416-M416-N416);162;IPVA;
2;22/02/2024;22/02/2024;22/02/2024;;;74;GOVERNO;;135;IMPOSTOS;7704,61;0;0;7704,61;=(K417+L417-M417-N417);52;DARF;
2;22/02/2024;23/01/2024;22/02/2024;10664/02;10664;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;15636,69;0;0;15636,69;=(K418+L418-M418-N418);8;EMBALAGENS;
2;23/02/2024;09/01/2024;23/02/2024;652359/02;652359;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;35247,76;0;0;35247,76;=(K419+L419-M419-N419);17;ESPECIARIAS;
2;23/02/2024;23/02/2024;26/02/2024;;;74;GOVERNO;ST ANTIGO;135;IMPOSTOS;6364,27;0;0;6364,27;=(K420+L420-M420-N420);56;DARE - SP ST;
2;23/02/2024;23/02/2024;;;;74;GOVERNO;ST ANTIGO;135;IMPOSTOS;2202,11;0;0;0;=(K421+L421-M421-N421);118;ST;
2;23/02/2024;22/02/2024;23/02/2024;;;205;HERPEL COMERCIO DE PAPEIS LTDA - EPP;QUADRO BRANCO P EXPEDI??O;130;DIVERSOS;63,9;0;0;63,9;=(K422+L422-M422-N422);155;MATERIAL ESCRITORIO;
2;23/02/2024;09/02/2024;26/02/2024;;;73;BRASPRESS TRANSPORTES URGENTES LTDA;;108;FRETES;199,59;0;0;199,59;=(K423+L423-M423-N423);13;FRETES;
2;23/02/2024;23/02/2024;23/02/2024;;;74;GOVERNO;;135;IMPOSTOS;181,05;0;0;181,05;=(K424+L424-M424-N424);118;ST;
2;23/02/2024;26/02/2024;26/02/2024;;;139;COLABORADORES;;136;RH;1350;0;0;1350;=(K425+L425-M425-N425);6;CHAPA;
2;24/02/2024;24/11/2023;26/02/2024;CACHORRO/6;3169;9;INVENT ARTE E PROPAGANDA LTDA;;133;PUBLICIDADE;12012;0;0;12012;=(K426+L426-M426-N426);15;ADESIVO;
2;25/02/2024;05/02/2024;26/02/2024;;;86;UNIMED;;136;RH;409,61;0;0;409,61;=(K427+L427-M427-N427);40;PLANO DE SAUDE;
2;25/02/2024;05/02/2024;26/02/2024;;;86;UNIMED;;136;RH;2634,87;0;0;2634,87;=(K428+L428-M428-N428);40;PLANO DE SAUDE;
2;25/02/2024;26/01/2024;26/02/2024;656227/01;656227;28;DUAS RODAS INDUSTRIAL S.A.;;104;MATERIA PRIMA;14908,46;0;0;14908,46;=(K429+L429-M429-N429);17;ESPECIARIAS;
2;26/02/2024;26/01/2024;26/02/2024;10685/02;10685;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;8511,77;0;0;8511,77;=(K430+L430-M430-N430);8;EMBALAGENS;
2;26/02/2024;05/02/2024;26/02/2024;20447/02;20447;18;GESOPLAST EMBALAGENS LTDA;;131;INSUMOS;2260,16;0;0;2260,16;=(K431+L431-M431-N431);8;EMBALAGENS;
2;26/02/2024;26/02/2024;26/02/2024;;;74;GOVERNO;;135;IMPOSTOS;123,57;0;0;123,57;=(K432+L432-M432-N432);118;ST;
2;26/02/2024;20/02/2024;26/02/2024;;;10;CARLOS RODRIGO MARTINS DE FREITAS 07582085965;;129;PRODUTO;1980;0;0;1980;=(K433+L433-M433-N433);62;COPO DE COURO;
2;26/02/2024;08/02/2024;26/02/2024;715/01;715;64;RB COMERCIO E INDUSTRIA LTDA;;104;MATERIA PRIMA;5896;310,52;0;6206,52;=(K434+L434-M434-N434);38;LIMAO TRITURADO;
2;26/02/2024;20/02/2024;26/02/2024;;;274;CANTELLE VIAGENS E TURISMO LTDA;;108;FRETES;170;0;0;170;=(K435+L435-M435-N435);13;FRETES;
2;26/02/2024;19/02/2024;26/02/2024;2673/02;;162;AZULMED INDUSTRIA E COMERCIO DE PRODUTOS DE PROTEC;;129;PRODUTO;63540;0;0;63540;=(K436+L436-M436-N436);126;GARRAFAS;
2;26/02/2024;05/02/2024;26/02/2024;10739/01;10739;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;7126,72;0;0;7126,72;=(K437+L437-M437-N437);8;EMBALAGENS;
2;26/02/2024;24/02/2024;26/02/2024;;;111;DESRATIZA??O;;132;FIXO;140;0;0;140;=(K438+L438-M438-N438);30;CONTROLE DE PRAGAS;
2;26/02/2024;23/01/2024;26/02/2024;134/02;134;6;E GUILLEN DE MELO ME;;129;PRODUTO;46010;0;0;46010;=(K439+L439-M439-N439);2;BOMBAS E COPOS;
2;26/02/2024;12/01/2024;26/02/2024;;;150;INVIOLAVEL VALE DO IVAI COMERCIO E MANUTENCAO DE A;;132;FIXO;350;0;0;350;=(K440+L440-M440-N440);187;SEGURAN?A;
2;26/02/2024;15/01/2024;26/02/2024;20464/03;20464;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;21756,66;0;0;21756,66;=(K441+L441-M441-N441);5;ERVA MATE TIPO A;
2;26/02/2024;12/01/2024;26/02/2024;;;74;GOVERNO;;135;IMPOSTOS;3179,22;0;0;3179,22;=(K442+L442-M442-N442);57;ICMS - ST MS TRANSFERENCIA;
2;26/02/2024;23/06/2023;26/02/2024;;;284;RENAULT DO BRASIL S.A;;155;FROTA;4316,69;0;0;4316,69;=(K443+L443-M443-N443);160;VAN RENAULT 01;
2;27/02/2024;27/02/2024;27/02/2024;;;87;SIND DOS TRAB NA MOV DE MERC EM GERAL DE JANDAIA D;;130;DIVERSOS;2160;0;0;2160;=(K444+L444-M444-N444);6;CHAPA;
2;27/02/2024;27/02/2024;27/02/2024;;;69;MERCADO LIVRE;CAPINHA E PELICULA;130;DIVERSOS;298,5;0;0;298,5;=(K445+L445-M445-N445);196;CELULAR EMPRESA;
2;27/02/2024;27/02/2024;27/02/2024;;;74;GOVERNO;;135;IMPOSTOS;119,51;0;0;119,51;=(K446+L446-M446-N446);118;ST;
2;27/02/2024;19/02/2024;27/02/2024;102/01;102;66;CASAGRANDE AGROALIMENTOS LTDA;;104;MATERIA PRIMA;17600;0;0;17600;=(K447+L447-M447-N447);24;ERVA MATE TIPO B E PALITO;
2;27/02/2024;27/02/2024;27/02/2024;;;69;MERCADO LIVRE;ORGANIZADOR DE PAPEL EXPEDI??O;130;DIVERSOS;94,5;0;0;94,5;=(K448+L448-M448-N448);98;DIVERSOS;
2;27/02/2024;27/02/2024;27/02/2024;;;274;CANTELLE VIAGENS E TURISMO LTDA;;108;FRETES;149,99;0;0;149,99;=(K449+L449-M449-N449);13;FRETES;
2;27/02/2024;27/02/2024;27/02/2024;;;302;METALURGICA METALCAR LTDA;CARRINHOS PARA EXPEDI??O;130;DIVERSOS;1009;0;0;1009;=(K450+L450-M450-N450);138;MANUT DE MAQUINARIOS PRODU??O;
2;27/02/2024;20/02/2024;27/02/2024;;;93;MIDIALINE;;132;FIXO;49,9;0;0;49,9;=(K451+L451-M451-N451);39;PROVEDOR DE EMAIL;
2;27/02/2024;30/01/2024;27/02/2024;20740/02;20740;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;14252,5;0;0;14252,5;=(K452+L452-M452-N452);121;ERVA MATE TIPO A E PALITO;
2;27/02/2024;16/01/2024;27/02/2024;3595/03;3595;252;EBRALI DISTRIBUIDORA DE ALIMENTOS LTDA;;104;MATERIA PRIMA;3735;0;0;3735;=(K453+L453-M453-N453);17;ESPECIARIAS;
2;27/02/2024;22/01/2024;27/02/2024;163/05;163;12;ALEX FREITAS DE AGUIAR EIRELI;;104;MATERIA PRIMA;5474;0;0;5474;=(K454+L454-M454-N454);69;BURRITO E MENTA;
2;28/02/2024;17/01/2024;28/02/2024;20539/03;20539;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;12800;0;0;12800;=(K455+L455-M455-N455);121;ERVA MATE TIPO A E PALITO;
2;28/02/2024;08/02/2024;28/02/2024;89912/01;89912;299;MUNDO SAFRA IMPORTADORA E DISTRIBUIDORA LTDA;;104;MATERIA PRIMA;375;0;0;375;=(K456+L456-M456-N456);17;ESPECIARIAS;
2;28/02/2024;14/02/2024;28/02/2024;20944/01;20944;149;COMPANHIA PARANAENSE DO MATTE LTDA;;104;MATERIA PRIMA;24766,67;0;0;24766,67;=(K457+L457-M457-N457);121;ERVA MATE TIPO A E PALITO;
2;28/02/2024;27/02/2024;28/02/2024;;;91;FRETE CARREGAMENTO;;145;ABASTECIMENTO PR;900;0;0;900;=(K458+L458-M458-N458);13;FRETES;
2;28/02/2024;28/02/2024;28/02/2024;;;74;GOVERNO;;135;IMPOSTOS;318;0;0;318;=(K459+L459-M459-N459);118;ST;
2;28/02/2024;21/01/2024;28/02/2024;693/02;693;64;RB COMERCIO E INDUSTRIA LTDA;;104;MATERIA PRIMA;10560;0;0;10560;=(K460+L460-M460-N460);38;LIMAO TRITURADO;
2;28/02/2024;29/01/2024;28/02/2024;10692/02;10692;247;NOBRE LAMINADOS PLASTICOS LTDA;;131;INSUMOS;14622,35;0;0;14622,35;=(K461+L461-M461-N461);8;EMBALAGENS;
2;29/02/2024;01/02/2024;29/02/2024;;;123;VHS MATERIAIS ELETRICOS EIRELI;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;529,79;0;0;529,79;=(K462+L462-M462-N462);80;MATERIAL P CONSTRU??O;
2;29/02/2024;06/02/2024;29/02/2024;;;306;DETRAN;;155;FROTA;1128,48;0;0;1128,48;=(K463+L463-M463-N463);192;MULTA DE TRANSITO;
2;29/02/2024;25/01/2024;29/02/2024;1229269/02;;284;RENAULT DO BRASIL S.A;;155;FROTA;3577,87;76,99;0;3654,86;=(K464+L464-M464-N464);191;VAN RENAULT 02;
2;29/02/2024;29/11/2023;29/02/2024;;;270;PORTO SEGURO COMPANHIA DE SEGUROS GERAIS;;11;MANUTEN??O DE INSTALA??ES / MAQUINARIOS;2707,73;0;0;2707,73;=(K465+L465-M465-N465);185;SEGURO PREDIAL;
3;29/02/2024;29/02/2024;01/03/2024;;;85;UTALK;;132;FIXO;594;0;0;594;=(K466+L466-M466-N466);58;UTALK;
2;29/02/2024;29/02/2024;29/02/2024;;;74;GOVERNO;;135;IMPOSTOS;366,91;0;0;366,91;=(K467+L467-M467-N467);118;ST;
3;29/02/2024;28/02/2024;01/03/2024;;;91;FRETE CARREGAMENTO;GUSTAVO;145;ABASTECIMENTO PR;1500;0;0;1500;=(K468+L468-M468-N468);13;FRETES;
2;29/02/2024;28/02/2024;29/02/2024;;;303;BRASIL WEB TRANSPORTES E LOGISTICA S/A;;108;FRETES;205,28;11,87;0;217,15;=(K469+L469-M469-N469);13;FRETES;
2;29/02/2024;09/02/2024;29/02/2024;;;74;GOVERNO;FERIAS COM A TROTS;135;IMPOSTOS;4878,8;0;0;4878,8;=(K470+L470-M470-N470);52;DARF;
